,Time,Voltage (V),Current Load (A),Watts (W)
563,2985.77479,3.760377,2,7.520754
564,2991.115129,3.759698,2,7.519396
565,2996.465741,3.759025,2,7.51805
566,3001.815846,3.758336,2,7.516672
567,3007.156,3.757659,2,7.515318
568,3012.496364,3.756973,2,7.513946
569,3017.826316,3.756292,2,7.512584
570,3023.156413,3.755611,2,7.511222
571,3028.506734,3.754936,2,7.509872
572,3033.846999,3.75424,2,7.50848
573,3039.17679,3.75356,2,7.50712
574,3044.50728,3.752871,2,7.505742
575,3049.846762,3.752177,2,7.504354
576,3055.197583,3.751484,2,7.502968
577,3060.547272,3.750792,2,7.501584
578,3065.887856,3.750111,2,7.500222
579,3071.228282,3.749413,2,7.498826
580,3076.568315,3.748713,2,7.497426
581,3081.928325,3.74802,2,7.49604
582,3087.288245,3.747331,2,7.494662
583,3092.62858,3.746618,2,7.493236
584,3097.978642,3.745922,2,7.491844
585,3103.32924,3.745229,2,7.490458
586,3108.668976,3.744528,2,7.489056
587,3114.038711,3.743829,2,7.487658
588,3119.390166,3.743128,2,7.486256
589,3124.729711,3.742433,2,7.484866
590,3130.070459,3.741723,2,7.483446
591,3135.420245,3.741022,2,7.482044
592,3140.780588,3.740318,2,7.480636
593,3146.129926,3.739617,2,7.479234
594,3151.470338,3.738913,2,7.477826
595,3156.810728,3.738211,2,7.476422
596,3162.160963,3.73751,2,7.47502
597,3167.53092,3.736795,2,7.47359
598,3172.871433,3.736096,2,7.472192
599,3178.211536,3.735386,2,7.470772
600,3183.551075,3.73468,2,7.46936
601,3188.891822,3.733981,2,7.467962
602,3194.252251,3.733268,2,7.466536
603,3199.601931,3.732559,2,7.465118
604,3204.952677,3.731861,2,7.463722
605,3210.302459,3.731148,2,7.462296
606,3215.64264,3.730442,2,7.460884
607,3221.003017,3.729719,2,7.459438
608,3226.343298,3.72901,2,7.45802
609,3231.692647,3.728297,2,7.456594
610,3237.023003,3.727597,2,7.455194
611,3242.373477,3.726885,2,7.45377
612,3247.743654,3.726179,2,7.452358
613,3253.074003,3.725463,2,7.450926
614,3258.404086,3.724759,2,7.449518
615,3263.74395,3.724054,2,7.448108
616,3269.084386,3.723329,2,7.446658
617,3274.424693,3.722626,2,7.445252
618,3279.754857,3.721917,2,7.443834
619,3285.085138,3.721206,2,7.442412
620,3290.415164,3.7205,2,7.441
621,3295.735277,3.719785,2,7.43957
622,3301.104774,3.71907,2,7.43814
623,3306.445406,3.718355,2,7.43671
624,3311.786062,3.717648,2,7.435296
625,3317.116209,3.716927,2,7.433854
626,3322.456114,3.71622,2,7.43244
627,3327.796679,3.715503,2,7.431006
628,3333.14604,3.714792,2,7.429584
629,3338.486486,3.714073,2,7.428146
630,3343.826475,3.713366,2,7.426732
631,3349.167048,3.71264,2,7.42528
632,3354.516876,3.711922,2,7.423844
633,3359.847211,3.711205,2,7.42241
634,3365.207,3.710482,2,7.420964
635,3370.557848,3.709759,2,7.419518
636,3375.898229,3.709038,2,7.418076
637,3381.258265,3.708314,2,7.416628
638,3386.598642,3.707597,2,7.415194
639,3391.958786,3.706867,2,7.413734
640,3397.288831,3.706146,2,7.412292
641,3402.648789,3.70541,2,7.41082
642,3407.988574,3.704681,2,7.409362
643,3413.3296,3.703958,2,7.407916
644,3418.669904,3.703232,2,7.406464
645,3424.019695,3.702504,2,7.405008
646,3429.379804,3.701768,2,7.403536
647,3434.730167,3.701034,2,7.402068
648,3440.070201,3.700306,2,7.400612
649,3445.40021,3.699573,2,7.399146
650,3450.740258,3.698839,2,7.397678
651,3456.090675,3.698099,2,7.396198
652,3461.420993,3.697368,2,7.394736
653,3466.790769,3.696622,2,7.393244
654,3472.161183,3.695884,2,7.391768
655,3477.591538,3.69513,2,7.39026
656,3482.961727,3.694384,2,7.388768
657,3488.331665,3.693642,2,7.387284
658,3493.742072,3.692904,2,7.385808
659,3499.09237,3.692149,2,7.384298
660,3504.472263,3.691408,2,7.382816
661,3509.882651,3.690645,2,7.38129
662,3515.292775,3.689886,2,7.379772
663,3520.682266,3.689141,2,7.378282
664,3526.043211,3.688384,2,7.376768
665,3531.413147,3.687634,2,7.375268
666,3536.763836,3.686885,2,7.37377
667,3542.133779,3.686127,2,7.372254
668,3547.523466,3.685366,2,7.370732
669,3553.023524,3.684594,2,7.369188
670,3558.414349,3.683826,2,7.367652
671,3563.794839,3.683063,2,7.366126
672,3569.214323,3.682307,2,7.364614
673,3574.594501,3.681555,2,7.36311
674,3580.004767,3.680775,2,7.36155
675,3585.41532,3.680008,2,7.360016
676,3590.765726,3.679247,2,7.358494
677,3596.155459,3.678474,2,7.356948
678,3601.585743,3.677697,2,7.355394
679,3606.99637,3.676934,2,7.353868
680,3612.37593,3.676167,2,7.352334
681,3617.756443,3.675393,2,7.350786
682,3623.136801,3.674625,2,7.34925
683,3628.526809,3.673856,2,7.347712
684,3633.887073,3.673085,2,7.34617
685,3639.286819,3.672308,2,7.344616
686,3644.687312,3.671536,2,7.343072
687,3650.156466,3.670752,2,7.341504
688,3655.577436,3.669972,2,7.339944
689,3661.0179,3.669194,2,7.338388
690,3666.38826,3.668421,2,7.336842
691,3671.767997,3.667642,2,7.335284
692,3677.118644,3.66686,2,7.33372
693,3682.488585,3.666099,2,7.332198
694,3687.858735,3.665323,2,7.330646
695,3693.268983,3.664558,2,7.329116
